,Kód obce,Název obce,Název MOMC,Název části obce,Název ulice,Souřadnice Y,Souřadnice X,latitude,longitude
93,554782,Praha,Praha 1,Malá Strana,U Bruských kasáren,743491.78,1042380.7050000001,50.092259562916745,14.410604804633243
94,554782,Praha,Praha 1,Malá Strana,U Sovových mlýnů,743782.317,1043201.392,50.08459316146835,14.408147915199821
95,554782,Praha,Praha 1,Malá Strana,U Zlaté studně,743961.61,1042500.3583333334,50.09061716225451,14.404328365739008
96,554782,Praha,Praha 1,Malá Strana,U lanové dráhy,744119.585,1043375.0700000001,50.08263220622223,14.403810606439427
97,554782,Praha,Praha 1,Malá Strana,U lužického semináře,743667.9262857144,1042822.3557142857,50.08810962462912,14.409008504792888
98,554782,Praha,Praha 1,Malá Strana,U železné lávky,743479.41875,1042539.78,50.09085784299575,14.41107932731341
99,554782,Praha,Praha 1,Malá Strana,Valdštejnská,743787.0330769231,1042496.1292307692,50.09086913969593,14.406737238641682
100,554782,Praha,Praha 1,Malá Strana,Valdštejnské náměstí,743910.38,1042598.545,50.08980551367682,14.405224977202378
101,554782,Praha,Praha 1,Malá Strana,Velkopřevorské náměstí,743840.909,1043006.606,50.08625620608477,14.406965260685928
102,554782,Praha,Praha 1,Malá Strana,Vlašská,744439.2268421053,1042835.0442105263,50.0870495965785,14.398355131476876
103,554782,Praha,Praha 1,Malá Strana,Vítězná,743960.8055555555,1043541.4644444444,50.08134506324627,14.40632589455809
104,554782,Praha,Praha 1,Malá Strana,Všehrdova,743956.8761904762,1043421.89,50.08241493362295,14.40615218073096
105,554782,Praha,Praha 1,Malá Strana,Zámecká,744149.8933333334,1042667.5366666666,50.0888969315713,14.402040789733036
106,554782,Praha,Praha 1,Malá Strana,Zámecké schody,744252.06125,1042616.0237499999,50.08923027903667,14.400528049591523
107,554782,Praha,Praha 1,Malá Strana,none,743874.91,1043272.0,50.08385061219026,14.40700085698576
108,554782,Praha,Praha 1,Malá Strana,nábřeží Edvarda Beneše,743473.392,1042432.172,50.091823706065135,14.410957545406303
109,554782,Praha,Praha 1,Malá Strana,Újezd,744066.0148484849,1043325.1396969697,50.08314270390506,14.404456869131616
110,554782,Praha,Praha 1,Malá Strana,Úvoz,744578.4,1042667.814,50.08836810077021,14.396109158587425
111,554782,Praha,Praha 1,Malá Strana,Říční,743976.6830769231,1043474.4684615384,50.08192230498467,14.405978314196183
112,554782,Praha,Praha 1,Malá Strana,Šeříková,743971.57,1043512.8816666667,50.08158643596331,14.406122368884143
113,554782,Praha,Praha 1,Malá Strana,Šporkova,744471.8933333333,1042735.9188888888,50.087892359141264,14.397713647816971
114,554782,Praha,Praha 1,Nové Město,28. října,742772.7966666666,1043461.7522222222,50.08351219828016,14.422618853977003
115,554782,Praha,Praha 1,Nové Město,Barvířská,741946.15,1042606.4075,50.09214364312281,14.432434672109844
116,554782,Praha,Praha 1,Nové Město,Biskupská,741820.2678571428,1042784.2735714286,50.09071343137241,14.434516043856672
117,554782,Praha,Praha 1,Nové Město,Biskupský dvůr,741771.9233333333,1042780.9099999999,50.090802570761944,14.435178989183894
118,554782,Praha,Praha 1,Nové Město,Bolzanova,741811.8300000001,1043311.1975,50.0860302192419,14.435635364537415
119,554782,Praha,Praha 1,Nové Město,Charvátova,742900.5709090909,1043618.229090909,50.08196181625756,14.42114816883605
120,554782,Praha,Praha 1,Nové Město,Divadelní,743435.8,1043683.685,50.08072250788696,14.413864164643773
121,554782,Praha,Praha 1,Nové Město,Dlážděná,742055.3071428572,1043208.3014285715,50.08664868749815,14.432068881705296
122,554782,Praha,Praha 1,Nové Město,Havlíčkova,742001.6618181819,1042998.6363636364,50.08858194018578,14.432412563124352
123,554782,Praha,Praha 1,Nové Město,Helmova,741766.9757142857,1042640.3928571428,50.09206027353537,14.434980133208363
124,554782,Praha,Praha 1,Nové Město,Hybernská,741995.818,1043160.1516666667,50.087150414412186,14.432800829713742
125,554782,Praha,Praha 1,Nové Město,Jeruzalémská,742095.5942857143,1043436.6371428572,50.08456548282095,14.431945682124669
126,554782,Praha,Praha 1,Nové Město,Jindřišská,742346.053125,1043465.921875,50.083997907800914,14.428534233337528
127,554782,Praha,Praha 1,Nové Město,Jungmannova,742828.3147058823,1043742.6923529411,50.080941754842605,14.422385432355506
128,554782,Praha,Praha 1,Nové Město,Jungmannovo náměstí,742743.729047619,1043491.5771428572,50.08328216371058,14.423078039187873
129,554782,Praha,Praha 1,Nové Město,Karlovo náměstí,742936.7466666667,1044075.82,50.07784160851266,14.42151903216262
130,554782,Praha,Praha 1,Nové Město,Klimentská,742022.910952381,1042602.1771428571,50.092087334394265,14.431363816692066
131,554782,Praha,Praha 1,Nové Město,Krakovská,742458.5599999999,1044063.5464285715,50.078536855578406,14.42811445896491
132,554782,Praha,Praha 1,Nové Město,Křemencova,743236.4209090909,1043911.8513636364,50.07893472114644,14.417058757265504
133,554782,Praha,Praha 1,Nové Město,Lannova,742050.2440000001,1042529.9880000001,50.09269687871193,14.430847963585334
134,554782,Praha,Praha 1,Nové Město,Lazarská,742976.915,1043910.69,50.07926322266665,14.420648511200426
135,554782,Praha,Praha 1,Nové Město,Legerova,742321.65,1044212.31,50.0773794495253,14.430292629492348
136,554782,Praha,Praha 1,Nové Město,Lodecká,741923.9028571428,1042636.8114285714,50.091900062186255,14.432800560959333
137,554782,Praha,Praha 1,Nové Město,Lodní mlýny,741870.78,1042534.39,50.09287740928164,14.433341169696654
138,554782,Praha,Praha 1,Nové Město,Magdalény Rettigové,743000.236,1043863.492,50.07965503798621,14.420235800805644
139,554782,Praha,Praha 1,Nové Město,Masarykovo nábřeží,743440.16,1043875.0764705883,50.07901241526049,14.414168629413878
140,554782,Praha,Praha 1,Nové Město,Mezibranská,742371.278,1044111.6173333334,50.078215576879195,14.429414076506784
141,554782,Praha,Praha 1,Nové Město,Mikulandská,743132.1254545455,1043662.3618181818,50.081284849515576,14.418027000137785
142,554782,Praha,Praha 1,Nové Město,Mlynářská,741827.275,1042630.11,50.09207805271195,14.434125682131441
143,554782,Praha,Praha 1,Nové Město,Myslíkova,743260.785625,1044030.696875,50.07784626833034,14.416947978512468
144,554782,Praha,Praha 1,Nové Město,Na Florenci,741755.1699999999,1042954.0635714286,50.089280722603405,14.435740374353164
145,554782,Praha,Praha 1,Nové Město,Na Poříčí,741919.6037499999,1042881.4058333333,50.0897266259776,14.433325552046629
146,554782,Praha,Praha 1,Nové Město,Na příkopě,742500.4621428571,1043265.8328571429,50.085591011814586,14.426015745110522
147,554782,Praha,Praha 1,Nové Město,Na struze,743393.2942857143,1043810.8971428572,50.079641550561895,14.414694994865133
148,554782,Praha,Praha 1,Nové Město,Navrátilova,742816.378125,1044007.25375,50.078599869007746,14.423054514648147
149,554782,Praha,Praha 1,Nové Město,Nekázanka,742377.5883333334,1043333.8316666665,50.08513585157148,14.427846222485297
150,554782,Praha,Praha 1,Nové Město,Novomlýnská,742171.7566666667,1042555.7416666667,50.09231866847167,14.429214562022233
151,554782,Praha,Praha 1,Nové Město,Nové mlýny,742230.26,1042565.03,50.092164278277416,14.428422232604419
152,554782,Praha,Praha 1,Nové Město,Národní,743091.9689473684,1043582.9315789473,50.08204158374405,14.418431510808952
153,554782,Praha,Praha 1,Nové Město,Olivova,742236.8542857143,1043595.5014285714,50.08297743853804,14.430292525561923
154,554782,Praha,Praha 1,Nové Město,Opatovická,743193.143076923,1043833.1719230769,50.07968859894209,14.417507867987077
155,554782,Praha,Praha 1,Nové Město,Opletalova,742116.0156862745,1043571.4843137255,50.08333934111513,14.431919592023991
156,554782,Praha,Praha 1,Nové Město,Ostrovní,743233.2778787878,1043721.4654545455,50.08063437228645,14.41673946661187
157,554782,Praha,Praha 1,Nové Město,Palackého,742759.0707142857,1043748.1314285714,50.08097816835348,14.423354280102995
158,554782,Praha,Praha 1,Nové Město,Panská,742443.6127272728,1043391.82,50.084538452106926,14.427042618470207
159,554782,Praha,Praha 1,Nové Město,Petrská,741844.7873913043,1042690.7726086957,50.09151626727505,14.433998646122763
160,554782,Praha,Praha 1,Nové Město,Petrské náměstí,741983.0785714285,1042686.71,50.09138314229871,14.43207620861534
161,554782,Praha,Praha 1,Nové Město,Politických vězňů,742279.2395454545,1043645.7895454546,50.08247759571341,14.429801502818655
162,554782,Praha,Praha 1,Nové Město,Purkyňova,742936.6128571428,1043697.9500000001,50.08120754598226,14.420801124481411
163,554782,Praha,Praha 1,Nové Město,Příčná,742843.9618181818,1044059.7927272728,50.078098086269186,14.422772772243126
164,554782,Praha,Praha 1,Nové Město,Pštrossova,743327.7638235294,1043909.4505882353,50.07884409140053,14.4157898649673
165,554782,Praha,Praha 1,Nové Město,Půtova,741720.6766666668,1042634.4700000001,50.09216970323599,14.435609907508342
166,554782,Praha,Praha 1,Nové Město,Revoluční,742281.3694117648,1042704.4811764705,50.09085953882322,14.427980112191667
167,554782,Praha,Praha 1,Nové Město,Růžová,742213.5927777778,1043534.4316666666,50.0835498962969,14.430498306530266
168,554782,Praha,Praha 1,Nové Město,Samcova,741881.4975,1042628.035,50.09203015465576,14.433370987220982
169,554782,Praha,Praha 1,Nové Město,Senovážná,742262.4071428571,1043218.1100000001,50.08630770344639,14.429220462403858
170,554782,Praha,Praha 1,Nové Město,Senovážné náměstí,742106.3691428571,1043291.7788571428,50.08584259807484,14.431520846488215
171,554782,Praha,Praha 1,Nové Město,Slovanský ostrov,743532.6699999999,1043937.99,50.07833856164514,14.413008092825542
172,554782,Praha,Praha 1,Nové Město,Soukenická,742148.726764706,1042694.1511764706,50.09111401371158,14.42979691394609
